gu,D_name,pm10,pm25,color,lat,lon
종로구,성북1치안센터 옆,26,14,"rgb(0,201,250)",37.590161,127.004073
종로구,서울추가25,60,43,"rgb(116,217,0)",37.593598,126.918184
종로구,인왕초등학교,43,26,"rgb(116,217,0)",37.5775,126.9345
종로구,폰마트 앞,45,32,"rgb(116,217,0)",37.589641,126.917351
종로구,서울명소22,77,54,"rgb(116,217,0)",37.562186,126.946223
종로구,광화문사옥6층,38,24,"rgb(116,217,0)",37.5717222,126.977746
종로구,서울159,70,45,"rgb(116,217,0)",37.57131944,127.0049194
종로구,하이마트 앞,36,25,"rgb(116,217,0)",37.600585,126.923742
종로구,서울_C2예비27,87,56,"rgb(255,189,0)",37.570192,127.015998
종로구,정릉로,59,44,"rgb(116,217,0)",37.6067,127.0049
종로구,서울_추가176,74,45,"rgb(116,217,0)",37.581192,126.950708
종로구,서울172,80,52,"rgb(255,189,0)",37.572267,126.977901
종로구,한샘 매장 앞,65,40,"rgb(116,217,0)",37.5661,126.9302
종로구,서울명소21,104,73,"rgb(255,189,0)",37.564683,126.937734
종로구,파크부동산옆 ,62,33,"rgb(116,217,0)",37.549222,126.938725
종로구,서울1018_C2,51,27,"rgb(116,217,0)",37.56074722,126.9234083
종로구,서울67,54,29,"rgb(116,217,0)",37.591538,127.012957
종로구,서울추가117,105,68,"rgb(255,189,0)",37.574595,126.997353
종로구,한강대로,47,34,"rgb(116,217,0)",37.5491,126.9704
종로구,서울_명소13,54,35,"rgb(116,217,0)",37.57624,126.955337
종로구,서울추가5,100,55,"rgb(255,189,0)",37.5848,127.0184
종로구,kt광화문5,22,14,"rgb(0,201,250)",37.5717,126.9777
종로구,서울164,87,56,"rgb(255,189,0)",37.576002,127.002575
종로구,개인주택 앞,47,25,"rgb(116,217,0)",37.5472,126.9390
종로구,서울_C2예비29,227,147,"rgb(255,0,0)",37.578378,127.015204
종로구,청계천로,39,30,"rgb(116,217,0)",37.5686,126.9981
종로구,서울264,87,56,"rgb(255,189,0)",37.570856,126.98744
종로구,서울93,89,57,"rgb(255,189,0)",37.568836,126.976487
종로구,광화문역6번출구앞,56,45,"rgb(116,217,0)",37.5699,126.9763
종로구,관측망9,315,223,"rgb(255,0,0)",37.55558,126.934927
종로구,피자 알보로 앞,65,42,"rgb(116,217,0)",37.568185,126.964686
종로구,서울추가117,105,68,"rgb(255,189,0)",37.574595,126.997353
종로구,두산_실외기,58,38,"rgb(116,217,0)",37.5951,126.9901
종로구,일미식당 앞,47,29,"rgb(116,217,0)",37.5820,126.9365
종로구,서울1010C2,65,42,"rgb(116,217,0)",37.57240278,126.9918111
종로구,파크부동산옆 ,62,33,"rgb(116,217,0)",37.549222,126.938725
종로구,서울1018_C2,51,27,"rgb(116,217,0)",37.56074722,126.9234083
종로구,마포구,55,30,"rgb(116,217,0)",37.5498,126.9456
종로구,서울1037_C2,64,39,"rgb(116,217,0)",37.603389,126.961421
종로구,서울추가199_,68,55,"rgb(116,217,0)",37.537214,126.960392
종로구,다이소 앞,70,43,"rgb(116,217,0)",37.569018,126.91592
종로구,서울명소21,104,73,"rgb(255,189,0)",37.564683,126.937734
종로구,약국앞,38,31,"rgb(116,217,0)",37.565572,127.02032
종로구,서울_추가183,74,45,"rgb(116,217,0)",37.575254,126.917842
종로구,정릉로,59,44,"rgb(116,217,0)",37.6067,127.0049
종로구,서울_C2예비14,60,37,"rgb(116,217,0)",37.576023,126.926095
종로구,서울C2예비28,81,52,"rgb(255,189,0)",37.573773,127.01873
종로구,한샘 매장 앞,65,40,"rgb(116,217,0)",37.5661,126.9302
종로구,서울1039,87,56,"rgb(255,189,0)",37.571878,126.982805
종로구,동대문 우체국 앞,56,30,"rgb(116,217,0)",37.575161,127.023902
종로구,도로25A,85,69,"rgb(255,189,0)",37.560882,126.982159
종로구,종로,39,26,"rgb(116,217,0)",37.5709,126.9965
종로구,서울_추가176,74,45,"rgb(116,217,0)",37.581192,126.950708
종로구,서울추가73,87,70,"rgb(255,189,0)",37.533286,126.96409
종로구,kt광화문1,37,24,"rgb(116,217,0)",37.5717,126.9777
종로구,서울1010C2,65,42,"rgb(116,217,0)",37.57240278,126.9918111
종로구,서대문 보건소 옆,27,16,"rgb(0,201,250)",37.5784,126.9361
종로구,서울명소16,74,48,"rgb(116,217,0)",37.58686111,126.9967
종로구,피자 알보로 앞,65,42,"rgb(116,217,0)",37.568185,126.964686
종로구,서울C2예비15,51,36,"rgb(116,217,0)",37.558828,126.942408
종로구,중구,39,26,"rgb(116,217,0)",37.5643,126.9747
종로구,서울349,77,50,"rgb(116,217,0)",37.565818,126.972629
종로구,서울C2예비22,80,65,"rgb(255,189,0)",37.561035,126.975477
종로구,kt광화문1,37,24,"rgb(116,217,0)",37.5717,126.9777
종로구,서울1010C2,65,42,"rgb(116,217,0)",37.57240278,126.9918111
