측정년도,측정소명,미세먼지(㎍/㎥)
2018,강남구,35
2018,강동구,45
2018,강북구,35
2018,강서구,38
2018,관악구,43
2018,광진구,40
2018,구로구,42
2018,금천구,39
2018,노원구,39
2018,도봉구,41
2018,동대문구,36
2018,동작구,40
2018,마포구,44
2018,서대문구,41
2018,서초구,42
2018,성동구,42
2018,성북구,41
2018,송파구,41
2018,양천구,37
2018,영등포구,48
2018,용산구,34
2018,은평구,42
2018,종로구,35
2018,중구,36
2018,중랑구,35
2017,강남구,44
2017,강동구,48
2017,강북구,37
2017,강서구,47
2017,관악구,43
2017,광진구,42
2017,구로구,45
2017,금천구,41
2017,노원구,42
2017,도봉구,44
2017,동대문구,44
2017,동작구,42
2017,마포구,41
2017,서대문구,46
2017,서초구,47
2017,성동구,48
2017,성북구,47
2017,송파구,45
2017,양천구,43
2017,영등포구,49
2017,용산구,39
2017,은평구,44
2017,종로구,40
2017,중구,40
2017,중랑구,45
2016,강남구,51
2016,강동구,53
2016,강북구,42
2016,강서구,51
2016,관악구,48
2016,광진구,49
2016,구로구,51
2016,금천구,45
2016,노원구,40
2016,도봉구,47
2016,동대문구,49
2016,동작구,43
2016,마포구,46
2016,서대문구,50
2016,서초구,51
2016,성동구,53
2016,성북구,49
2016,송파구,46
2016,양천구,47
2016,영등포구,55
2016,용산구,42
2016,은평구,47
2016,종로구,46
2016,중구,47
2016,중랑구,50
2015,강남구,46
2015,강동구,44
2015,강북구,43
2015,강서구,48
2015,관악구,51
2015,광진구,45
2015,구로구,46
2015,금천구,47
2015,노원구,46
2015,도봉구,43
2015,동대문구,44
2015,동작구,44
2015,마포구,46
2015,서대문구,42
2015,서초구,48
2015,성동구,46
2015,성북구,42
2015,송파구,44
2015,양천구,48
2015,영등포구,49
2015,용산구,42
2015,은평구,45
2015,종로구,50
2015,중구,44
2015,중랑구,45
2014,강남구,46
2014,강동구,45
2014,강북구,46
2014,강서구,46
2014,관악구,51
2014,광진구,50
2014,구로구,48
2014,금천구,43
2014,노원구,45
2014,도봉구,43
2014,동대문구,46
2014,동작구,43
2014,마포구,48
2014,서대문구,45
2014,서초구,47
2014,성동구,47
2014,성북구,43
2014,송파구,43
2014,양천구,47
2014,영등포구,46
2014,용산구,45
2014,은평구,45
2014,종로구,45
2014,중구,46
2014,중랑구,47
2013,강남구,47
2013,강동구,43
2013,강북구,45
2013,강서구,46
2013,관악구,46
2013,광진구,46
2013,구로구,47
2013,금천구,45
2013,노원구,44
2013,도봉구,43
2013,동대문구,45
2013,동작구,42
2013,마포구,46
2013,서대문구,43
2013,서초구,45
2013,성동구,44
2013,성북구,41
2013,송파구,42
2013,양천구,47
2013,영등포구,46
2013,용산구,44
2013,은평구,44
2013,종로구,45
2013,중구,43
2013,중랑구,45
2012,강남구,43
2012,강동구,39
2012,강북구,41
2012,강서구,44
2012,관악구,40
2012,광진구,41
2012,구로구,41
2012,금천구,43
2012,노원구,41
2012,도봉구,38
2012,동대문구,43
2012,동작구,42
2012,마포구,42
2012,서대문구,38
2012,서초구,43
2012,성동구,43
2012,성북구,38
2012,송파구,39
2012,양천구,43
2012,영등포구,44
2012,용산구,40
2012,은평구,39
2012,종로구,41
2012,중구,39
2012,중랑구,42
2011,강남구,50
2011,강동구,45
2011,강북구,39
2011,강서구,50
2011,관악구,49
2011,광진구,48
2011,구로구,49
2011,금천구,43
2011,노원구,42
2011,도봉구,45
2011,동대문구,49
2011,동작구,46
2011,마포구,51
2011,서대문구,47
2011,서초구,50
2011,성동구,50
2011,성북구,42
2011,송파구,47
2011,양천구,43
2011,영등포구,50
2011,용산구,49
2011,은평구,47
2011,종로구,46
2011,중구,47
2011,중랑구,48
2010,강남구,52
2010,강동구,48
2010,강북구,45
2010,강서구,49
2010,관악구,55
2010,광진구,47
2010,구로구,51
2010,금천구,48
2010,노원구,41
2010,도봉구,44
2010,동대문구,52
2010,동작구,48
2010,마포구,52
2010,서대문구,53
2010,서초구,50
2010,성동구,49
2010,성북구,44
2010,송파구,47
2010,양천구,52
2010,영등포구,52
2010,용산구,50
2010,은평구,47
2010,종로구,50
2010,중구,49
2010,중랑구,49
2009,강남구,56
2009,강동구,53
2009,강북구,54
2009,강서구,57
2009,관악구,56
2009,광진구,52
2009,구로구,55
2009,구로구2,50
2009,금천구,55
2009,노원구,55
2009,도봉구,50
2009,동대문구,53
2009,동작구,55
2009,마포구,57
2009,서대문구,56
2009,서초구,55
2009,성동구,55
2009,성북구,51
2009,송파구,52
2009,송파구2,62
2009,양천구,52
2009,영등포구,53
2009,용산구,56
2009,은평구,53
2009,종로구,53
2009,중구,53
2009,중랑구,51
2008,강남구,54
2008,강동구,53
2008,강북구,55
2008,강서구,57
2008,관악구,56
2008,광진구,48
2008,구로구,55
2008,구로구2,63
2008,금천구,56
2008,노원구,58
2008,도봉구,53
2008,동대문구,49
2008,동작구,61
2008,마포구,60
2008,서대문구,56
2008,서초구,55
2008,성동구,54
