name,lat,lon,val,clr
상계1동1,37.6752,127.0537,34,rgb(116,217,0)
성북동1,37.5902,127.0042,56,"rgb(116,217,0)"
수색동1,37.5820,126.8958,11,"rgb(0,201,250)"
상계10동1,37.6575,127.0653,-999,"rgb(0,201,250)"
방학제3동1,37.6582,127.0351,48,"rgb(116,217,0)"
성산제2동1,37.5640,126.9074,67,"rgb(116,217,0)"
대치4동1,37.4920,127.0571,46,"rgb(116,217,0)"
교남동1,37.5679,126.9647,55,"rgb(116,217,0)"
성산제2동2,37.5680,126.9082,47,"rgb(116,217,0)"
거여1동1,37.4999,127.1397,54,"rgb(116,217,0)"
역촌동1,37.5998,126.9170,-999,"rgb(0,201,250)"
독산제1동1,37.4668,126.8978,63,"rgb(116,217,0)"
잠실7동1,37.5112,127.0778,51,"rgb(116,217,0)"
상계10동2,37.6593,127.0579,61,"rgb(116,217,0)"
일원1동1,37.4917,127.0882,27,"rgb(0,201,250)"
대조동1,37.6130,126.9268,65,"rgb(116,217,0)"
상계3.4동1,37.6621,127.0743,63,"rgb(116,217,0)"
도곡1동1,37.4869,127.0394,45,"rgb(116,217,0)"
방학제2동1,37.6619,127.0376,30,"rgb(116,217,0)"
월곡제2동1,37.6026,127.0417,24,"rgb(0,201,250)"
자양제4동1,37.5346,127.0671,44,"rgb(116,217,0)"
면목본동1,37.5838,127.0883,37,"rgb(116,217,0)"
면목제2동1,37.5853,127.0800,37,"rgb(116,217,0)"
가리봉동1,37.4789,126.8889,39,"rgb(116,217,0)"
자양제1동1,37.5360,127.0838,35,"rgb(116,217,0)"
녹번동1,37.6011,126.9337,65,"rgb(116,217,0)"
가산동1,37.4719,126.8980,-999,"rgb(0,201,250)"
삼성1동1,37.5045,127.0624,36,"rgb(116,217,0)"
상계8동1,37.667,127.057,59,"rgb(116,217,0)"
논현2동1,37.5175,127.0455,-999,"rgb(0,201,250)"
잠실6동1,37.5189,127.1051,74,"rgb(116,217,0)"
신월7동1,37.5162,126.8361,54,"rgb(116,217,0)"
잠실2동1,37.5118,127.0957,24,"rgb(0,201,250)"
쌍문제2동1,37.6527,127.0449,34,"rgb(116,217,0)"
대조동2,37.6111,126.9178,67,"rgb(116,217,0)"
돈암제2동1,37.5916,127.0131,39,"rgb(116,217,0)"
휘경제1동1,37.5915,127.0671,67,"rgb(116,217,0)"
역삼2동1,37.4923,127.0445,41,"rgb(116,217,0)"
자양제4동2,37.5416,127.0668,21,"rgb(0,201,250)"
방학제3동2,37.6612,127.0269,62,"rgb(116,217,0)"
가락본동1,37.4957,127.1209,52,"rgb(116,217,0)"
홍은제1동1,37.5878,126.9453,23,"rgb(0,201,250)"
방학제2동2,37.6623,127.0311,55,"rgb(116,217,0)"
중화제2동1,37.5939,127.0754,38,"rgb(116,217,0)"
화곡제1동1,37.5265,126.8386,24,"rgb(0,201,250)"
갈현제2동1,37.6180,126.9202,38,"rgb(116,217,0)"
용강동1,37.5413,126.9458,69,"rgb(116,217,0)"
상봉제1동1,37.6002,127.0908,29,"rgb(0,201,250)"
길음제1동1,37.6024,127.0221,-999,"rgb(0,201,250)"
명일제2동1,37.5489,127.1558,57,"rgb(116,217,0)"
방학제1동1,37.6586,127.0485,48,"rgb(116,217,0)"
북아현동1,37.5513,126.9554,69,"rgb(116,217,0)"
둔촌제2동1,37.5287,127.1417,55,"rgb(116,217,0)"
천호제3동1,37.5339,127.1379,36,"rgb(116,217,0)"
묵제2동1,37.6062,127.0784,34,"rgb(116,217,0)"
대조동3,37.6064,126.9229,84,"rgb(255,189,0)"
신사제2동1,37.5911,126.9136,14,"rgb(0,201,250)"
문정1동1,37.4798,127.1268,67,"rgb(116,217,0)"
응암제1동1,37.6006,126.9238,51,"rgb(116,217,0)"
증산동1,37.5813,126.9047,47,"rgb(116,217,0)"
창제4동1,37.6470,127.0599,25,"rgb(0,201,250)"
홍제제3동1,37.5940,126.9475,29,"rgb(0,201,250)"
서강동1,37.547,126.933,74,"rgb(116,217,0)"
군자동1,37.5528,127.0795,40,"rgb(116,217,0)"
상계1동2,37.6752,127.0538,51,"rgb(116,217,0)"
구산동1,37.6055,126.9107,25,"rgb(0,201,250)"
상봉제2동1,37.5884,127.0870,30,"rgb(116,217,0)"
보문동1,37.5750,127.0240,59,"rgb(116,217,0)"
북아현동2,37.5569,126.9561,17,"rgb(0,201,250)"
화곡제4동1,37.5252,126.8643,49,"rgb(116,217,0)"
정릉제1동1,37.6022,127.0194,41,"rgb(116,217,0)"
염리동1,37.5469,126.9441,53,"rgb(116,217,0)"
중화제1동1,37.5951,127.0817,29,"rgb(0,201,250)"
청량리동1,37.5805,127.0448,17,"rgb(0,201,250)"
신월4동1,37.5193,126.8437,62,"rgb(116,217,0)"
용신동1,37.5746,127.0378,50,"rgb(116,217,0)"
창신제1동1,37.5658,127.0200,28,"rgb(0,201,250)"
중곡제1동1,37.5566,127.0818,64,"rgb(116,217,0)"
홍은제2동1,37.5784,126.9361,54,"rgb(116,217,0)"
상암동1,37.5756,126.8995,53,"rgb(116,217,0)"
종암동1,37.6002,127.0339,41,"rgb(116,217,0)"
역촌동2,37.5988,126.9148,24,"rgb(0,201,250)"
창제4동2,37.6539,127.0578,18,"rgb(0,201,250)"
전농제2동1,37.5848,127.0527,32,"rgb(116,217,0)"
홍은제1동2,37.5943,126.9405,26,"rgb(0,201,250)"
갈현제2동2,37.6143,126.9173,46,"rgb(116,217,0)"
암사제3동1,37.5547,127.1432,-999,"rgb(0,201,250)"
암사제2동1,37.5501,127.1280,55,"rgb(116,217,0)"
목1동1,37.5240,126.8695,48,"rgb(116,217,0)"
목1동2,37.5249,126.8739,40,"rgb(116,217,0)"
방학제1동2,37.6649,127.0426,28,"rgb(0,201,250)"
신내2동1,37.5991,127.0971,24,"rgb(0,201,250)"
신수동1,37.5493,126.9387,63,"rgb(116,217,0)"
중화제1동2,37.6012,127.0797,39,"rgb(116,217,0)"
신사제2동2,37.5850,126.9149,57,"rgb(116,217,0)"
쌍문제2동2,37.6569,127.0398,19,"rgb(0,201,250)"
아현동1,37.5456,126.9533,56,"rgb(116,217,0)"
구의제2동1,37.5450,127.0888,27,"rgb(0,201,250)"
성산제1동1,37.5575,126.9089,64,"rgb(116,217,0)"
용신동2,37.5779,127.0381,49,"rgb(116,217,0)"
상봉제1동2,37.5956,127.0856,49,"rgb(116,217,0)"
마장동1,37.5622,127.0482,33,"rgb(116,217,0)"
일원2동1,37.4916,127.0795,44,"rgb(116,217,0)"
